Parent ASIN,Child ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Conversion Rate - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page View Percentage - Total,Page View Percentage - Total - B2B,Buy Box Percentage,Buy Box Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
Parent_ASIN_40,Child_ASIN_40,Product_Title_41,SKU_40,64,0,0.14%,0.0%,87,0,0.14%,0.0%,83.99%,0.0%,8,0,10.19%,0.0%,US$106.16,US$0.0,8,0
Parent_ASIN_22,Child_ASIN_22,Product_Title_23,SKU_22,344,5,0.73%,0.58%,410,5,0.64%,0.43%,91.69%,0.0%,30,0,8.07%,0.0%,US$554.41,US$0.0,29,0
Parent_ASIN_55,Child_ASIN_55,Product_Title_56,SKU_55,234,2,0.5%,0.29%,311,2,0.48%,0.22%,116.87%,0.0%,6,0,2.92%,0.0%,US$163.33,US$0.0,5,0
Parent_ASIN_70,Child_ASIN_70,Product_Title_71,SKU_70,40,2,0.09%,0.28%,53,2,0.08%,0.21%,110.89%,110.89%,2,0,6.17%,0.0%,US$16.39,US$0.0,2,0
Parent_ASIN_0,Child_ASIN_0,Product_Title_1,SKU_0,2518,49,5.38%,6.22%,3600,73,5.6%,6.83%,94.81%,94.98%,586,16,22.1%,31.05%,US$11277.01,US$317.08,540,13
Parent_ASIN_26,Child_ASIN_26,Product_Title_27,SKU_26,154,7,0.33%,0.89%,243,10,0.38%,0.91%,87.24%,87.99%,23,1,13.07%,11.0%,US$559.65,US$16.6,22,1
Parent_ASIN_39,Child_ASIN_39,Product_Title_40,SKU_39,165,4,0.35%,0.49%,267,5,0.42%,0.46%,97.61%,97.61%,9,0,5.2%,0.0%,US$234.62,US$0.0,9,0
Parent_ASIN_65,Child_ASIN_65,Product_Title_66,SKU_65,65,1,0.14%,0.13%,92,2,0.14%,0.19%,101.71%,101.71%,3,0,4.77%,0.0%,US$21.94,US$0.0,3,0
Parent_ASIN_10,Child_ASIN_10,Product_Title_11,SKU_10,567,11,1.21%,1.33%,800,15,1.24%,1.36%,80.52%,80.82%,60,0,8.53%,0.0%,US$582.95,US$0.0,54,0
Parent_ASIN_44,Child_ASIN_44,Product_Title_45,SKU_44,43,1,0.09%,0.12%,88,1,0.14%,0.08%,89.02%,0.0%,6,0,13.17%,0.0%,US$169.35,US$0.0,6,0
Parent_ASIN_81,Child_ASIN_81,Product_Title_82,SKU_81,7,0,0.01%,0.0%,10,0,0.02%,0.0%,104.93%,0.0%,1,0,14.99%,0.0%,US$8.38,US$0.0,1,0
