Parent ASIN,Child ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Conversion Rate - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page View Percentage - Total,Page View Percentage - Total - B2B,Buy Box Percentage,Buy Box Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B08YQG5TMR,B09YTW6J1F,"Linoroso Kitchen Shears Heavy Duty Kitchen Scissors with Magnetic Holder, Dishwasher Safe Scissors All Purpose Come Apart Blade Made with Japanese Steel 4034 for Meat/Vegetables/BBQ/Herbs, Black",LKS05,"2,651",52,5.66%,6.55%,"3,790",77,5.90%,7.19%,99.82%,100.00%,617,17,23.27%,32.69%,"US$11,872.84",US$333.83,569,14
B0DH1V46S6,B07ZCWQZJG,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series",PCF01,"3,049",49,6.51%,6.17%,"4,498",70,7.00%,6.54%,99.85%,100.00%,434,11,14.23%,22.45%,"US$8,822.48",US$220.28,401,7
B09W91WMVF,B097D3WTPT,"linoroso Stackable Bento Box Adult Lunch Box | Meet All You On-the-Go Needs for Food, Salad, and Snack Box, Premium Bento Lunch Box for Adults Include Utensil Set, Dressing Containers - Pale Mint",LBB13,"8,376",85,17.89%,10.71%,"11,559",132,17.99%,12.32%,99.86%,100.00%,186,1,2.22%,1.18%,"US$4,588.67",US$25.77,182,1
B07ZCWQZJG,B07ZCWQZJG,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series",PCF01,"1,355",13,2.89%,1.64%,"1,903",14,2.96%,1.31%,99.67%,100.00%,199,2,14.69%,15.38%,"US$4,361.59",US$41.90,181,2
B09W91WMVF,B097D3B9BY,"Linoroso Stackable Bento Lunch Box | Meet All Your On-the-Go Food, Salad and Snack Needs, Premium Adult Lunch Box Includes Utensil Set, Dressing Containers - Lava Orange",LBB10,"1,491",14,3.19%,1.76%,"2,048",20,3.19%,1.87%,99.66%,100.00%,120,0,8.05%,0.00%,"US$2,958.95",US$0.00,110,0
B09W91WMVF,B0B1MC883K,"linoroso Stackable Bento Box Adult Lunch Box | Meet All You On-the-Go Needs for Food, Salad and Snack Box, Premium Bento Lunch Box for Adults Include Utensil Set, Dressing Containers - Classic Blue",LBB16,807,8,1.72%,1.01%,"1,095",10,1.70%,0.93%,99.89%,100.00%,111,2,13.75%,25.00%,"US$2,550.72",US$44.75,105,2
B0CFTRBCPK,B0CFTRBCPK,"linoroso French Fry Cutter, 4-in-1 Multi-functional Onion/Vegetable Chopper with Container, Pro Food Chopper, Veggie Chopper, and Food Dicer",LFD01,"1,830",27,3.91%,3.40%,"2,728",38,4.25%,3.55%,99.38%,100.00%,104,1,5.68%,3.70%,"US$2,490.80",US$23.95,101,1
B0CYWXT46G,B0CYWXT46G,"linoroso Meat Carving Fork 11 inch, Razor Sharp Carving Fork Barbecue Fork BBQ Tools Meat Forks Stainless Steel",PCF00,639,10,1.37%,1.26%,909,15,1.41%,1.40%,99.74%,100.00%,107,7,16.74%,70.00%,"US$2,350.08",US$160.65,101,4
B09W91WMVF,B09L4RQPNH,"linoroso Stackable Bento Box Adult Lunch Box | Meet All You On-the-Go Needs for Food, Salad and Snack Box, Premium Bento Lunch Box for Adults Include Utensil Set, Dressing Containers - Frozen Berry",LBB15,"1,956",23,4.18%,2.90%,"2,654",28,4.13%,2.61%,99.86%,100.00%,96,0,4.91%,0.00%,"US$2,333.45",US$0.00,95,0
B0CR66VXQ3,B0CQZQHZJT,"Linoroso Kitchen Scissors All Purpose Kitchen Shears with Magnetic Holder, Soft Grip Handle Cooking Scissors Dishwasher Safe with Come Apart Blade Heavy Duty Scissors for Meat, Vegetable, Herb, Black",LKS07,506,8,1.08%,1.01%,713,12,1.11%,1.12%,99.52%,100.00%,90,3,17.79%,37.50%,"US$2,034.30",US$67.17,88,3
B0D4Z73MJF,B0D4YXBJQ8,"Linoroso TPU Cutting Boards for kitchen, Flexible Chopping Boards with Juice Groove, Knife Mark Resistant Cutting Mats Dishwasher Safe BPA Free Cutting Board for Meat, Veggies, and Fruits, Pale Mint",LPU03,701,13,1.50%,1.64%,990,18,1.54%,1.68%,99.63%,100.00%,74,0,10.56%,0.00%,US$721.26,US$0.00,67,0
B0D4Z73MJF,B0D4YXDR9N,"Linoroso Flexible Kitchen Cutting Board - Made from BPA Free Material - Cutting Mark Prevention, 10x14 Inches, Non-Slip Design - Easy-Care Kitchen Essential, Orange",LPU01,"1,074",24,2.29%,3.02%,"1,390",30,2.16%,2.80%,99.92%,100.00%,68,0,6.33%,0.00%,US$652.32,US$0.00,66,0
B0D93SW6VZ,B0D93SW6VZ,"linoroso Lemon Zester & Cheese Grater Set of 2 - Kitchen Handheld Grater Tool for Cheese, Garlic, Ginger, Nutmeg, Chocolate, Fruits - Razor Sharp Stainless Steel Blade with Protective Cover",LKL03,591,16,1.26%,2.02%,785,23,1.22%,2.15%,100.00%,100.00%,65,5,11.00%,31.25%,"US$1,165.36",US$99.95,65,5
B09W91WMVF,B0C23SK47G,"linoroso Stackable Bento Box Adult Lunch Box | Meet All You On-the-Go Needs for Food, Salad and Snack Box, Premium Bento Lunch Box for Adults Include Utensil Set, Dressing Containers - Veri Peri",LBB0017,"1,005",14,2.15%,1.76%,"1,327",20,2.07%,1.87%,100.00%,100.00%,63,0,6.27%,0.00%,"US$1,541.11",US$0.00,62,0
B0D4Z73MJF,B0D4YXPMX4,"Linoroso Flexible Kitchen Cutting Board - Made from BPA Free Material - Cutting Mark Prevention, 10x14 Inches, Non-Slip Design - Easy-Care Kitchen Essential, Ultimate Gray",LPU02,554,12,1.18%,1.51%,722,13,1.12%,1.21%,99.83%,100.00%,62,4,11.19%,33.33%,US$601.38,US$39.96,55,4
B0DSSL6M7S,B0DCG3FMXJ,"Linoroso Knife Drawer Organizer With In-Drawer Knife Block for 9 Knives, Kitchen Utensil Organizer, BPA Free Secure Storage Tray for Countertop Organization",LKL32,"1,210",26,2.58%,3.27%,"1,871",38,2.91%,3.55%,100.00%,100.00%,56,2,4.63%,7.69%,"US$1,063.44",US$37.98,54,2
B0D91YLTXG,B0D5D33RG7,"Linoroso Magnetic Bottle Opener Pop Can Opener for Refrigerator, Beer Bottle Opener and Soda Can Opener with Cap Catcher, Portable Beer Opener for Bartender, Home, Restaurant, Bar Tools, 1 Pack, Black",LON01-B,300,13,0.64%,1.64%,406,22,0.63%,2.05%,100.00%,100.00%,65,18,21.67%,138.46%,US$360.55,US$91.62,48,1
B09DNY86X7,B098JQQXZP,"Linoroso Acacia Wood Cheese Board, Reversible Round (12inch) Charcuterie Board with Juice Groove",LCB03N,"3,889",96,8.31%,12.09%,"5,266",121,8.20%,11.30%,99.82%,100.00%,53,4,1.36%,4.17%,"US$1,609.40",US$123.80,46,2
B09W91WMVF,B097D3BF66,"linoroso Stackable Bento Box Adult Lunch Box | Meet All You On-the-Go Needs for Food, Salad and Snack Box, Premium Bento Lunch Box for Adults Include Utensil Set, Dressing Containers - Chalk White",LBB12,789,8,1.69%,1.01%,"1,049",12,1.63%,1.12%,99.88%,100.00%,44,2,5.58%,25.00%,"US$1,062.60",US$45.38,42,2
B09W91WMVF,B097D316TS,"linoroso Stackable Bento Box Adult Lunch Box | Meet All You On-the-Go Needs for Food, Salad and Snack Box, Premium Bento Lunch Box for Adults Include Utensil Set, Dressing Containers - Canal Blue",LBB14,513,4,1.10%,0.50%,619,5,0.96%,0.47%,100.00%,100.00%,40,0,7.80%,0.00%,US$975.80,US$0.00,38,0
B09W91WMVF,B097D45H93,"linoroso Stackable Bento Box Adult Lunch Box | Meet All You On-the-Go Needs for Food, Salad and Snack, Premium Bento Lunch Box for Adults Include Utensil Set, Dressing Containers - Ultimate Gray",LBB11,481,10,1.03%,1.26%,582,11,0.91%,1.03%,100.00%,100.00%,39,1,8.11%,10.00%,US$970.31,US$24.96,36,1
B0D4Z73MJF,B0D4Z11YGN,"Linoroso Flexible Kitchen Cutting Board - Made from BPA Free Material - Cutting Mark Prevention, 10x14 Inches, Non-Slip Design - Easy-Care Kitchen Essential, Green",LPU04,284,6,0.61%,0.76%,367,7,0.57%,0.65%,99.65%,100.00%,37,1,13.03%,16.67%,US$360.63,US$9.99,36,1
B08YQG5TMR,B08WYRBVMJ,"Linoroso Kitchen Scissors Heavy Duty Kitchen Shears with Magnetic Holder Made with Japanese Steel 4034, Multipurpose Ultra Sharp Cooking Scissors for Meat/Vegetables/BBQ/Herbs/Pizza (Graphic,Chili)",LKS01,375,5,0.80%,0.63%,447,5,0.70%,0.47%,100.00%,0.00%,33,0,8.80%,0.00%,US$604.69,US$0.00,32,0
B0D9469J4F,B0D9469J4F,"Linoroso Avocado Slicer Tool Kitchen Avocado Knife Set, Good Grips 3-in-1 Avocado Tool with Avocado cutter slicer, Avocado Pit Remover, Avocado Peeler with Cover, Green",LKL05,172,2,0.37%,0.25%,230,5,0.36%,0.47%,100.00%,100.00%,31,0,18.02%,0.00%,US$459.69,US$0.00,30,0
B0DH1V46S6,B09ST7D26M,"linoroso Boning Knife 5.7 inch Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fillet Knife for Meat, Fish, Poultry, Full Tang, Ergonomic Handle",PCF04,395,9,0.84%,1.13%,460,11,0.72%,1.03%,100.00%,100.00%,30,1,7.59%,11.11%,US$750.86,US$26.95,29,1
B09R9NSNJ6,B088D2SJM8,"linoroso 16.5'' Magnetic Knife Holder for Wall, Powerful Acacia Wood Magnetic Knife Strip Knife Rack for Kitchen Knives & Tools",MKS01,299,8,0.64%,1.01%,399,8,0.62%,0.75%,99.72%,100.00%,27,2,9.03%,25.00%,US$703.60,US$49.85,25,2
B0CTM73JC8,B0CD3YFF2L,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Premium Gift Box, German Carbon Stainless Steel Fruit Knife, Ultra Sharp Knife for Cutting and Peeling, Gifts for Women and Men",PCF01G,175,8,0.37%,1.01%,276,11,0.43%,1.03%,99.15%,100.00%,26,1,14.86%,12.50%,US$636.06,US$18.87,25,1
B0CNCN28PX,B0CNCN28PX,"linoroso 5 Pcs Knife Set with Magnetic Knife Strip, Sharp High Carbon Stainless Steel Kitchen Knife Set for Cutting, Chopping & Slicing, Chef Knives Set with Magnetic Knife Holder for Wall",TPF62,159,1,0.34%,0.13%,234,1,0.36%,0.09%,100.00%,0.00%,23,3,14.47%,300.00%,"US$1,270.97",US$179.85,22,2
